draw,cards_left,p_lose,p_win,bank_value,reward,ev_win,ev_lose,ev_draw,rw_round,bn_rd,ev_win_rd,ev_lose_rd,ev_rd
55,11,0.09090909090909091,0.9090909090909091,1890,200,181.8181818181818,171.8181818181818,10,200,1891.5,181.8181818181818,171.95454545454547,9.863636363636346
56,10,0.1,0.9,2090,243.33333333333331,219,209,10,243.5,2091.5,219.15,209.15,10
57,9,0.1111111111111111,0.8888888888888888,2333.3333333333335,302.9166666666667,269.25925925925924,259.25925925925924,10,303,2335,269.3333333333333,259.44444444444446,9.888888888888857
58,8,0.125,0.875,2636.25,388.0357142857143,339.53125,329.53125,10,388,2638,339.5,329.75,9.75
59,7,0.14285714285714285,0.8571428571428572,3024.285714285714,515.7142857142857,442.0408163265306,432.0408163265306,10,515.5,3026,441.8571428571429,432.2857142857143,9.571428571428612
60,6,0.16666666666666666,0.8333333333333334,3540,720,600,590,10,720,3541.5,600,590.25,9.75
61,5,0.2,0.8,4260,1077.5,862,852,10,1077.5,4261.5,862,852.3000000000001,9.699999999999932
62,4,0.25,0.75,5337.5,1792.5,1344.375,1334.375,10,1792.5,5339,1344.375,1334.75,9.625
63,3,0.3333333333333333,0.6666666666666667,7130,3579.9999999999995,2386.6666666666665,2376.6666666666665,10,3580,7131.5,2386.666666666667,2377.1666666666665,9.500000000000455
64,2,0.5,0.5,10710,10730,5365,5355,10,10730,10711.5,5365,5355.75,9.25
65,1,1,0,21440,Inf,NA,21440,NA,Inf,21441.5,NA,21441.5,NA
