draw,cards_left,p_lose,p_win,bank_value,reward,ev_win,ev_lose,ev_draw,rw_round,bn_rd,ev_win_rd,ev_lose_rd,ev_rd
1,49,0.02040816326530612,0.9795918367346939,0,1.0208333333333333,0.9999999999999999,0,0.9999999999999999,1,0,0.9795918367346939,0,0.9795918367346939
2,48,0.020833333333333332,0.9791666666666666,1.0208333333333333,1.0429964539007093,1.0212673611111112,0.02126736111111111,1,1,1,0.9791666666666666,0.020833333333333332,0.9583333333333333
3,47,0.02127659574468085,0.9787234042553191,2.0638297872340425,1.0666049953746533,1.0439112720688095,0.04391127206880942,1,1.1,2,1.0765957446808512,0.0425531914893617,1.0340425531914894
4,46,0.021739130434782608,0.9782608695652174,3.130434782608696,1.0917874396135265,1.0680529300567108,0.06805293005671077,1,1.1,3.1,1.0760869565217392,0.06739130434782609,1.0086956521739132
5,45,0.022222222222222223,0.9777777777777777,4.222222222222222,1.1186868686868687,1.0938271604938272,0.09382716049382717,1,1.1,4.2,1.0755555555555556,0.09333333333333334,0.9822222222222222
6,44,0.022727272727272728,0.9772727272727273,5.340909090909091,1.147463002114165,1.1213842975206612,0.12138429752066116,1,1.1,5.300000000000001,1.0750000000000002,0.12045454545454548,0.9545454545454547
7,43,0.023255813953488372,0.9767441860465116,6.488372093023256,1.178294573643411,1.1508923742563548,0.1508923742563548,1,1.2000000000000002,6.4,1.172093023255814,0.14883720930232558,1.0232558139534884
8,42,0.023809523809523808,0.9761904761904762,7.666666666666667,1.2113821138211383,1.1825396825396826,0.18253968253968253,1,1.2000000000000002,7.6000000000000005,1.1714285714285715,0.18095238095238095,0.9904761904761905
9,41,0.024390243902439025,0.975609756097561,8.878048780487806,1.246951219512195,1.2165377751338489,0.21653777513384892,1,1.2000000000000002,8.8,1.1707317073170733,0.21463414634146344,0.9560975609756099
10,40,0.025,0.975,10.125,1.2852564102564104,1.253125,0.253125,1,1.3,10,1.2675,0.25,1.0175
11,39,0.02564102564102564,0.9743589743589743,11.41025641025641,1.3265856950067478,1.292570677186062,0.2925706771860618,1,1.3,11.3,1.2666666666666666,0.28974358974358977,0.9769230769230768
12,38,0.02631578947368421,0.9736842105263158,12.736842105263158,1.3712660028449501,1.335180055401662,0.335180055401662,1,1.4000000000000001,12.600000000000001,1.3631578947368423,0.3315789473684211,1.0315789473684212
13,37,0.02702702702702703,0.972972972972973,14.108108108108107,1.4196696696696696,1.381300219138057,0.38130021913805695,1,1.4000000000000001,14.000000000000002,1.3621621621621625,0.37837837837837845,0.983783783783784
14,36,0.027777777777777776,0.9722222222222222,15.527777777777777,1.4722222222222223,1.4313271604938271,0.43132716049382713,1,1.5,15.400000000000002,1.4583333333333333,0.4277777777777778,1.0305555555555554
15,35,0.02857142857142857,0.9714285714285714,17,1.5294117647058825,1.4857142857142858,0.4857142857142857,1,1.5,16.900000000000002,1.457142857142857,0.48285714285714293,0.9742857142857142
16,34,0.029411764705882353,0.9705882352941176,18.529411764705884,1.5918003565062389,1.5449826989619377,0.5449826989619377,1,1.6,18.400000000000002,1.5529411764705883,0.5411764705882354,1.011764705882353
17,33,0.030303030303030304,0.9696969696969697,20.121212121212125,1.660037878787879,1.6097337006427916,0.6097337006427916,1,1.7000000000000002,20,1.6484848484848487,0.6060606060606061,1.0424242424242425
18,32,0.03125,0.96875,21.781250000000004,1.7348790322580645,1.6806640625,0.6806640625000001,0.9999999999999999,1.7000000000000002,21.700000000000003,1.646875,0.6781250000000001,0.96875
19,31,0.03225806451612903,0.967741935483871,23.516129032258068,1.8172043010752688,1.7585848074921957,0.7585848074921957,1,1.8,23.400000000000002,1.7419354838709677,0.7548387096774194,0.9870967741935484
20,30,0.03333333333333333,0.9666666666666667,25.333333333333336,1.9080459770114944,1.8444444444444446,0.8444444444444446,1,1.9000000000000001,25.200000000000003,1.836666666666667,0.8400000000000001,0.9966666666666668
21,29,0.034482758620689655,0.9655172413793104,27.24137931034483,2.0086206896551726,1.9393579072532703,0.93935790725327,1.0000000000000004,2,27.1,1.9310344827586208,0.9344827586206897,0.996551724137931
22,28,0.03571428571428571,0.9642857142857143,29.25,2.12037037037037,2.0446428571428568,1.044642857142857,0.9999999999999998,2.1,29.1,2.025,1.0392857142857144,0.9857142857142855
23,27,0.037037037037037035,0.962962962962963,31.37037037037037,2.245014245014245,2.161865569272977,1.1618655692729767,1.0000000000000002,2.2,31.200000000000003,2.1185185185185187,1.1555555555555557,0.962962962962963
24,26,0.038461538461538464,0.9615384615384616,33.61538461538461,2.3846153846153846,2.2928994082840237,1.2928994082840237,1,2.4000000000000004,33.400000000000006,2.307692307692308,1.284615384615385,1.023076923076923
25,25,0.04,0.96,36,2.5416666666666665,2.44,1.44,1,2.5,35.800000000000004,2.4,1.4320000000000002,0.9679999999999997
